Mouse,Trackpad
15.384615,37.037037
3.846154,30
19.230769,37.5
15.384615,23.076923
11.538462,15.384615
15.384615,19.230769
15.384615,26.923077
11.538462,7.692308
7.692308,34.615385
7.692308,19.230769
3.846154,7.692308
11.538462,7.692308
7.692308,3.846154
15.384615,14.925373
7.692308,11.538462
11.538462,11.538462
19.230769,7.692308
15.384615,23.076923
11.538462,25
23.076923,11.538462
15.384615,30.769231
11.538462,26.923077
11.538462,26.923077
11.538462,19.230769
7.692308,11.538462
11.538462,15.384615
15.384615,15.384615
7.692308,11.538462
19.230769,11.538462
11.538462,23.076923
7.692308,23.076923
15.384615,14.814815
15.384615,32.727273
15.384615,23.076923
11.538462,7.692308
15.384615,19.230769
18.518519,19.230769
3.846154,34.615385
15.384615,23.076923
7.692308,23.076923
7.692308,15.384615
15.384615,15.384615
15.384615,26.923077
15.384615,7.692308
11.538462,33.333333
15.384615,34.615385
18.518519,34.615385
3.846154,23.076923
15.384615,26.923077
7.692308,23.076923
15.384615,23.076923
11.538462,3.846154
15.384615,15.384615
19.230769,11.538462
19.230769,11.538462
15.384615,15.384615
11.538462,7.692308
15.384615,3.846154
7.692308,3.846154
15.384615,7.692308
