Mouse,Trackpad
6.643952,3.459057
6.317068,4.12581
7.377805,1.716502
7.630041,4.481759
7.579254,4.993998
7.700661,1.290106
6.199209,6.198214
7.811522,6.80109
7.465901,7.095263
7.383043,5.600531
4.208084,3.087246
7.453594,2.911349
6.435245,4.146395
6.844507,4.575988
10.593868,4.906895
9.443099,5.329689
8.397481,4.711496
8.545838,5.95852
8.928316,3.236313
10.330442,5.807352
9.859377,4.234477
9.301494,2.545789
9.923033,2.98656
7.838408,2.491901
10.006414,3.268971
8.672689,2.534463
8.833772,4.441352
10.426414,3.561928
6.180421,4.299653
8.034197,5.276302
4.686585,5.625035
5.905624,2.776921
6.1369,3.807664
6.718346,3.638823
7.471085,4.551422
7.281214,1.90359
5.744693,5.926601
7.399502,5.348261
7.468403,5.825469
9.499163,4.92331
4.686585,3.825994
5.905624,4.685388
6.1369,4.472805
6.718346,4.805693
7.471085,7.918179
7.281214,6.027006
5.744693,6.893382
7.399502,0.807244
7.468403,5.127767
9.499163,8.01768
6.558204,1.982396
7.038441,4.650081
6.785116,4.60165
6.45228,4.567213
6.374242,3.625336
7.305423,5.421184
5.439331,4.517876
8.160703,5.81103
6.064494,4.653869
6.082939,4.88477
